sample_id	PC1	PC2	PC3	PC4	PC5	run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212419	21.86731649742911	2.205152456355321	2.060711813842295	-7.538854568235645	-11.674884875861096	SRR12212419	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212419.Aligned.sortedByCoord.out.bam	SRR12212419	old	GSM4669713	SAMN15520601	SRX8723023	old	GSM4669713	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669713	oGV_26A	oGV_26A	NSN
SRR12212420	-19.57502703394134	-1.7329877239426743	5.375374780270889	4.282427768796803	-14.769177640098222	SRR12212420	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212420.Aligned.sortedByCoord.out.bam	SRR12212420	old	GSM4669714	SAMN15520643	SRX8723024	old	GSM4669714	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669714	oGV_26	oGV_26	SN
SRR12212421	22.8616318291139	6.15004924480599	-5.588955517803921	0.29337113170232243	-8.128591379759241	SRR12212421	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212421.Aligned.sortedByCoord.out.bam	SRR12212421	old	GSM4669715	SAMN15520642	SRX8723025	old	GSM4669715	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669715	oGV_27A	oGV_27A	NSN
SRR12212422	-4.984642249680355	8.065189602924345	-0.063922414034553	-7.773780926493297	-5.8379448685661846	SRR12212422	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212422.Aligned.sortedByCoord.out.bam	SRR12212422	old	GSM4669716	SAMN15520641	SRX8723026	old	GSM4669716	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669716	oGV_27	oGV_27	SN
SRR12212423	24.334268877804682	6.877757181406838	-0.4031371519631959	-0.09009759852599573	-8.709562107549235	SRR12212423	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212423.Aligned.sortedByCoord.out.bam	SRR12212423	old	GSM4669717	SAMN15520640	SRX8723027	old	GSM4669717	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669717	oGV_28A	oGV_28A	NSN
SRR12212424	-6.991075466955884	6.420501604050194	5.252575375013338	1.5640379223329477	-8.23422106486673	SRR12212424	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212424.Aligned.sortedByCoord.out.bam	SRR12212424	old	GSM4669718	SAMN15520639	SRX8723028	old	GSM4669718	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669718	oGV_28	oGV_28	SN
SRR12212425	-12.027826344819491	0.2735233429053623	-7.655651720719156	1.0274988103826408	-3.3890143556507923	SRR12212425	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212425.Aligned.sortedByCoord.out.bam	SRR12212425	old	GSM4669719	SAMN15520638	SRX8723029	old	GSM4669719	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669719	oGV_29A	oGV_29A	SN
SRR12212426	-10.252625606418912	4.001156549382982	-2.813796764299331	-0.08858092002097623	-6.677114741483053	SRR12212426	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212426.Aligned.sortedByCoord.out.bam	SRR12212426	old	GSM4669720	SAMN15520637	SRX8723030	old	GSM4669720	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669720	oGV_29	oGV_29	SN
SRR12212427	0.21144373199645372	3.5323138926899325	-11.433343127640793	0.23208571671718434	-0.0010255085042591634	SRR12212427	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212427.Aligned.sortedByCoord.out.bam	SRR12212427	old	GSM4669721	SAMN15520636	SRX8723031	old	GSM4669721	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669721	oGV_30A	oGV_30A	SN
SRR12212428	-15.728251632776407	2.541702041697109	-4.093991499158246	3.3051243831561457	-9.463858479228236	SRR12212428	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212428.Aligned.sortedByCoord.out.bam	SRR12212428	old	GSM4669722	SAMN15520635	SRX8723032	old	GSM4669722	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669722	oGV_30	oGV_30	SN
