gene_id	mean_young_vst	mean_old_vst	var_young	var_old	sd_young	sd_old	log2_var_ratio_old_vs_young	bf_statistic	pvalue	padj	subset	n_young	n_old
ENSMUSG00000051951	4.876489240666922	4.635435758437147	0.030981115901187226	0.20127342348132513	0.17601453321015065	0.4486350671551714	2.699695280443485	10.17454980253088	0.005075471729014644	0.9973921164102189	sn_only	12	8
ENSMUSG00000102343	5.956314823566428	5.949553367310058	0.0626058084991107	0.031259280093461496	0.25021152751044606	0.17680294141631664	-1.0020117307588905	0.625940676466124	0.4391494711984767	0.9973921164102189	sn_only	12	8
ENSMUSG00000025900	5.25139542489474	5.296318116559339	0.0455095716363676	0.038815370276678765	0.21332972515889015	0.19701616755149504	-0.22954190206130612	0.6233009472269891	0.4400998373328209	0.9973921164102189	sn_only	12	8
ENSMUSG00000033845	6.6667008914044095	6.891555238094714	0.057090289107076427	0.05781241654216329	0.23893574263193948	0.240442127220176	0.01813400648486086	0.12582884178720072	0.7269187024127086	0.9973921164102189	sn_only	12	8
ENSMUSG00000025903	7.403332369647517	7.538101908581606	0.07933138466448784	0.20385492010842654	0.28165827639976754	0.4515029569210223	1.3615790307177214	1.519721812383475	0.23352052144633492	0.9973921164102189	sn_only	12	8
ENSMUSG00000033813	8.066352067061546	7.9830248626463876	0.05387941185454956	0.05290364168167564	0.23211939137984477	0.23000791656305145	-0.026367062254319906	0.056902661598404757	0.8141547568114471	0.9973921164102189	sn_only	12	8
ENSMUSG00000033793	9.151795045821224	9.170729990335424	0.05493002255519496	0.022003360853112292	0.23437154809232916	0.14833529874278845	-1.3198705894828635	1.780289478675317	0.19874932758836192	0.9973921164102189	sn_only	12	8
ENSMUSG00000025905	4.74078899424272	4.654112954974812	0.06289997319524208	0.10185659335082844	0.2507986706408989	0.3191497976669082	0.6954079762966563	0.39319711128162826	0.5384967238267083	0.9973921164102189	sn_only	12	8
ENSMUSG00000025907	9.069007933526056	9.076330702056826	0.08123513860262867	0.017968679187213114	0.2850177864671408	0.13404730205122786	-2.1766189155184805	3.7758605123826086	0.06780411952896223	0.9973921164102189	sn_only	12	8
ENSMUSG00000103845	4.83066964051043	4.586948301095715	0.023080993949225418	0.11169932729360668	0.15192430335277307	0.3342144929436883	2.2748427433697347	7.86857812598321	0.01170807854044644	0.9973921164102189	sn_only	12	8
ENSMUSG00000033740	5.186193191723877	5.240883037043594	0.08279751444353359	0.03489136524064101	0.2877455724134319	0.18679230508947903	-1.2467171709899436	1.1022899453000607	0.307656677051989	0.9973921164102189	sn_only	12	8
ENSMUSG00000051285	6.745300330584785	6.981696950387288	0.0990582812939326	0.03156708539768865	0.3147352558801327	0.1776712846739412	-1.6498562162345631	2.3348903442459448	0.14388598981386036	0.9973921164102189	sn_only	12	8
ENSMUSG00000097797	5.053170308156204	4.920554594045167	0.05134265866702703	0.05380608848837841	0.22658918479712803	0.23196139439221003	0.06761141428418248	3.190879189911229e-4	0.9859446363282228	0.9988870653342784	sn_only	12	8
ENSMUSG00000061024	4.697201806485476	4.850220261991026	0.07892013389887755	0.1516121324270125	0.2809272751067036	0.38937402638981006	0.9419198100675075	0.444534007990791	0.5133985577217777	0.9973921164102189	sn_only	12	8
ENSMUSG00000025911	6.016975075815274	5.973608784241945	0.05669720384209125	0.0595208138204622	0.23811174654370004	0.24396887879494425	0.0701166533209743	0.26797943977538463	0.6109942415442569	0.9973921164102189	sn_only	12	8
