Cell,Total reads,Unaligned reads,Uniquely aligned reads,Multi-aligned reads,Aligment rate,Total features,Total counts in features,Predicted_configuration
oGV_43,"4,005,750","632,498","2,976,742","396,510",84.21%,"19,412","2,741,670",NSN
oGV_48,"3,211,361","484,869","2,418,802","307,690",84.90%,"18,372","2,229,370",NSN
oGV_46,"3,813,785","594,617","2,818,346","400,822",84.41%,"19,916","2,549,823",SN
oGV_47,"4,302,274","605,002","3,277,160","420,112",85.94%,"20,271","2,985,778",SN
oGV_41,"6,939,999","958,567","5,324,949","656,483",86.19%,"22,596","4,798,888",SN
oGV_28,"5,918,748","844,582","4,613,603","460,563",85.73%,"20,399","4,242,883",NSN
oGV_29,"3,385,455","584,173","2,477,085","324,197",82.74%,"18,544","2,292,137",NSN
oGV_26,"4,679,357","859,856","3,346,321","473,180",81.62%,"19,389","3,080,501",NSN
oGV_27,"4,212,888","539,874","3,401,714","271,300",87.19%,"19,475","3,141,012",NSN
oGV_30,"3,781,790","586,507","2,875,634","319,649",84.49%,"19,258","2,682,154",NSN
oGV_31,"2,089,129","387,180","1,490,223","211,726",81.47%,"16,782","1,365,164",NSN
oGV_25,"3,882,941","761,516","2,693,527","427,898",80.39%,"19,235","2,458,732",NSN
