bam_path	sample_id	age_group
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212457.Aligned.sortedByCoord.out.bam	SRR12212457	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212458.Aligned.sortedByCoord.out.bam	SRR12212458	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212459.Aligned.sortedByCoord.out.bam	SRR12212459	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212460.Aligned.sortedByCoord.out.bam	SRR12212460	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212461.Aligned.sortedByCoord.out.bam	SRR12212461	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212462.Aligned.sortedByCoord.out.bam	SRR12212462	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212463.Aligned.sortedByCoord.out.bam	SRR12212463	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212464.Aligned.sortedByCoord.out.bam	SRR12212464	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212465.Aligned.sortedByCoord.out.bam	SRR12212465	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212466.Aligned.sortedByCoord.out.bam	SRR12212466	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212467.Aligned.sortedByCoord.out.bam	SRR12212467	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212468.Aligned.sortedByCoord.out.bam	SRR12212468	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212469.Aligned.sortedByCoord.out.bam	SRR12212469	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212470.Aligned.sortedByCoord.out.bam	SRR12212470	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212471.Aligned.sortedByCoord.out.bam	SRR12212471	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212472.Aligned.sortedByCoord.out.bam	SRR12212472	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212473.Aligned.sortedByCoord.out.bam	SRR12212473	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212474.Aligned.sortedByCoord.out.bam	SRR12212474	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212475.Aligned.sortedByCoord.out.bam	SRR12212475	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212476.Aligned.sortedByCoord.out.bam	SRR12212476	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212477.Aligned.sortedByCoord.out.bam	SRR12212477	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212478.Aligned.sortedByCoord.out.bam	SRR12212478	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212479.Aligned.sortedByCoord.out.bam	SRR12212479	young
