gene_id	mean_young_vst	mean_old_vst	var_young	var_old	sd_young	sd_old	log2_var_ratio_old_vs_young	bf_statistic	pvalue	padj	subset	n_young	n_old
ENSMUSG00000051951	4.829075315546138	4.6678177880714875	0.07916894381160884	0.14854160399185434	0.28136976349922327	0.38541095468584485	0.9078604672932828	4.04217810509911	0.048594240096647257	0.42074366275024155	nsn_only	30	36
ENSMUSG00000102343	6.018354899781645	5.974894413211022	0.049390687352634355	0.06976953761071951	0.22224015693081742	0.26413923905909836	0.4983581407362273	0.6541353061999671	0.42163454074601214	0.7760023099717808	nsn_only	30	36
ENSMUSG00000025900	5.125656975578948	4.972472225242849	0.06081623403704771	0.07775151074360065	0.24660947677866663	0.2788395788685685	0.35441417380178136	0.058998807128514935	0.808862210534804	0.9437575892612121	nsn_only	30	36
ENSMUSG00000033845	6.415645443752965	6.4856638997042895	0.025738979864784513	0.04206746400683576	0.16043372421278673	0.20510354459841926	0.7087497566880858	0.7719534565986617	0.3829001943251853	0.7578595907387927	nsn_only	30	36
ENSMUSG00000025903	7.290429087904776	7.396302891587483	0.06093505744140444	0.09127832964512306	0.2468502733265743	0.3021230372631704	0.5829998274265883	0.0733744139743181	0.78735726436792	0.9369714044585461	nsn_only	30	36
ENSMUSG00000033813	8.128820010676023	8.259458907416537	0.028105529318674008	0.07054291806257505	0.1676470379060543	0.2655991680381832	1.327646960582507	7.3344641999598315	0.008666804940769142	0.2926892812042296	nsn_only	30	36
ENSMUSG00000033793	9.12626549606004	9.152422497878673	0.06811455334870771	0.12403183148549789	0.26098764980111167	0.35218153200515484	0.8646753430261055	0.7129957393553081	0.40159647011213717	0.7672550992409135	nsn_only	30	36
ENSMUSG00000025905	4.881470575216324	4.711533159118903	0.058479248126986676	0.07326085255592787	0.24182482942615027	0.2706674205661403	0.32511767784366097	0.5371580785121294	0.4662888881439462	0.801528265501877	nsn_only	30	36
ENSMUSG00000025907	9.155601142757595	9.19569193506159	0.05008410998388982	0.06570013002640605	0.2237947943628042	0.25632036600006264	0.3915432002652883	0.013377852620745926	0.9082820430927723	0.9768561986864299	nsn_only	30	36
ENSMUSG00000103845	4.760029659453499	4.686429153323358	0.047249087222176245	0.07394903436980285	0.2173685515942365	0.27193571734842564	0.6462447394074224	1.9306921018351888	0.1694979552979333	0.5930180382322661	nsn_only	30	36
ENSMUSG00000033740	5.414757121348016	5.470259667126798	0.060778662558242956	0.08609986031240681	0.24653328894541393	0.29342777699530564	0.5024458986691951	0.07420308157999032	0.7861895496469871	0.9369714044585461	nsn_only	30	36
ENSMUSG00000051285	6.51165458845514	6.481999271007405	0.07623702396014523	0.06432613170562586	0.2761105285209987	0.2536259681216138	-0.24508683341604873	0.0072344806020220856	0.9324825870462298	0.9843820191949282	nsn_only	30	36
