gene_id	mean_nsn_vst	mean_sn_vst	var_nsn	var_sn	sd_nsn	sd_sn	log2_var_ratio_sn_vs_nsn	bf_statistic	pvalue	padj	n_nsn	n_sn
ENSMUSG00000059503	4.237918235811185	4.806903770821195	0.01354403303561662	0.18181281766516158	0.11637883413927388	0.4263951426378607	3.7467236238016492	80.59057022010154	6.594377005352845e-14	9.026383244926975e-10	66	20
ENSMUSG00000054408	5.1406015305142665	6.2871404658810555	0.044190242875981854	0.6383866667689054	0.21021475418243568	0.7989910304683685	3.852630450636265	72.12789548175363	6.223669561774981e-13	4.259479448078797e-9	66	20
ENSMUSG00000006705	5.492658120974747	5.980748883869407	0.03456494551863798	0.23076676342277666	0.18591650146944455	0.48038189331278575	2.7390535406792798	37.877688350662325	2.4695729329781278e-8	1.1267838102201538e-4	66	20
ENSMUSG00000039977	4.330837382685493	5.096860077750559	0.0389820676417952	0.3195155273101338	0.19743876934836077	0.5652570453432082	3.035003198246333	31.707449309539648	2.3209471092163966e-7	6.353824806190808e-4	66	20
ENSMUSG00000037712	8.487804076106727	8.858809797395471	0.022097942887123915	0.09592966424783775	0.1486537684928435	0.3097251430669421	2.118064430730176	32.28859463986769	1.8691177847044571e-7	6.353824806190808e-4	66	20
ENSMUSG00000052310	4.640761809691331	5.356157690491275	0.05537003455779599	0.39663369402874327	0.2353083818264789	0.6297886105898893	2.8406296881191584	30.670415926430643	3.4257276263275457e-7	7.631003178395427e-4	66	20
ENSMUSG00000024383	5.206185212633708	6.342074512249531	0.0913663973054026	0.4641904893102586	0.3022687501304139	0.6813152642574938	2.3449812629469746	30.3256545480234	3.9024709416107537e-7	7.631003178395427e-4	66	20
ENSMUSG00000022865	4.747675375026805	5.084815530389403	0.04587102802751934	0.3619286766440896	0.21417522738990927	0.6016050836255372	2.980050000935293	29.703461055242588	4.942444497298824e-7	7.950350863458298e-4	66	20
ENSMUSG00000109215	4.9881518945994685	5.79691656116967	0.06412373873278787	0.23760993888713997	0.253226654862374	0.48745249910851823	1.8896645696701895	29.556369042394422	5.227437008410629e-7	7.950350863458298e-4	66	20
ENSMUSG00000082196	4.892122236719381	5.3563458043200995	0.0463596933414622	0.26471496950542456	0.21531301247593512	0.5145045864765683	2.5134965957634328	26.71331847223388	1.5700564272731296e-6	0.0019537211251376904	66	20
ENSMUSG00000026782	5.530077824411985	6.374856253309915	0.04918878552619077	0.2762592260566135	0.2217854493112449	0.5256036777426634	2.489621064623682	26.73538045894591	1.5565249134950682e-6	0.0019537211251376904	66	20
ENSMUSG00000029634	6.3078968117096155	6.729822115315949	0.037686775155976085	0.18056590106716633	0.19413081969634827	0.42493046615554214	2.2603949156678054	26.460756741407707	1.7338446358704522e-6	0.0019777387813162293	66	20
ENSMUSG00000026333	5.371113607721045	6.3058963369124355	0.0685604872130953	0.3165993533332424	0.2618405759486014	0.5626716212261308	2.207208876998928	21.75516935433532	1.1566997367243141e-5	0.012179158458678778	66	20
ENSMUSG00000024098	5.7828567531065325	6.195480683850443	0.07077524708610174	0.3005777060452914	0.26603617627326875	0.54824967491581	2.08642106627804	21.39724327315505	1.3416978126284017e-5	0.013117971185183973	66	20
ENSMUSG00000034757	4.9519586594743314	5.1795636474001645	0.035396124839687834	0.1488338153567266	0.1881385788180825	0.3857898590641369	2.0720387082754774	20.792301363718558	1.7264331710126888e-5	0.015754278163214456	66	20
ENSMUSG00000079509	4.733930578813476	5.289017891050092	0.06409259143093002	0.29774209094916126	0.25316514655641287	0.5456574850115787	2.2158335009516845	19.790033562170937	2.6317087334012508e-5	0.0225142682142477	66	20
ENSMUSG00000031397	4.702373457414687	4.275284247580657	0.2080007163707926	0.020960145219830226	0.45607095541241455	0.144776190099858	-3.3108672606255367	19.424059366245118	3.073441268203391e-5	0.02260395457420671	66	20
ENSMUSG00000029201	4.993845638828476	5.604812803327784	0.04526449525888182	0.22866977975403077	0.21275454227555712	0.4781942908003302	2.336813688670014	19.449517416915278	3.0403804402363123e-5	0.02260395457420671	66	20
ENSMUSG00000052485	6.905618855681786	6.448416264085046	0.043798558857039	0.22122256996457268	0.2092810523125278	0.470343034353197	2.336543012674723	19.375445609642714	3.1376032795874305e-5	0.02260395457420671	66	20
ENSMUSG00000034429	4.878964404069555	5.968424417706964	0.0869040490403747	0.3269013189105533	0.2947949270940304	0.5717528477502787	1.9113597740318273	19.20655391961394	3.3714138647614836e-5	0.023073956490427594	66	20
ENSMUSG00000027233	7.408266148731685	7.976545149214955	0.039146657691817216	0.17863037664017253	0.19785514320284225	0.4226468699046197	2.190016106422961	18.89472453107273	3.8513054763791865e-5	0.024340719752830395	66	20
ENSMUSG00000022306	4.877347013983016	4.851930619456442	0.06957393327216943	0.2390290970900494	0.263768711700553	0.4889060207136433	1.7805673126114527	18.858068383975453	3.912155424914295e-5	0.024340719752830395	66	20
ENSMUSG00000007872	5.259971485532006	6.0113766890613265	0.1019960942818457	0.453490262013742	0.3193682737559348	0.6734168560510956	2.1525575534669272	18.314404719465088	4.940183826709388e-5	0.028175515091665878	66	20
ENSMUSG00000004221	4.71825649886795	5.35831871268588	0.0704269165736836	0.28253681579527734	0.26538070120806373	0.5315419228953416	2.0042398902767995	18.386400616608384	4.789458952261349e-5	0.028175515091665878	66	20
ENSMUSG00000035713	4.834443056426278	5.712642012484126	0.09961507927723295	0.3605412306139866	0.31561856611617917	0.6004508561189554	1.8557280946222312	18.056982126408762	5.5201895405720525e-5	0.0302241417725401	66	20
ENSMUSG00000039942	6.041538543535353	6.428258027745418	0.037359354560532666	0.1256146508968615	0.1932856812092729	0.35442157227920185	1.7494630339018904	17.86070398297517	6.009183560553741e-5	0.03163604022186908	66	20
