gene_id	mean_nsn_vst	mean_sn_vst	var_nsn	var_sn	sd_nsn	sd_sn	log2_var_ratio_sn_vs_nsn	bf_statistic	pvalue	padj	n_nsn	n_sn
ENSMUSG00000051951	4.741116664196329	4.780067847775012	0.12185192845156631	0.1067694099736221	0.34907295577223724	0.3267558874352872	-0.1906307007610656	0.1715041074033084	0.6798340743218348	0.9686305385063694	66	20
ENSMUSG00000102343	5.994649179834033	5.95361024106388	0.06007956328160745	0.04777359458630742	0.24511132834205654	0.218571714973158	-0.33066083176413913	1.4808239143304576	0.22705363926277183	0.8374818394962692	66	20
ENSMUSG00000025900	5.042101657213803	5.26936450156058	0.07490701047062995	0.04115786902228841	0.273691451219489	0.20287402254179415	-0.8639322998177602	2.2840619514757514	0.134462150656591	0.7964162346116044	66	20
ENSMUSG00000033845	6.453837328817324	6.756642630080531	0.035369473245850915	0.06712450456081571	0.18806773579179104	0.25908397202608985	0.9243346085056906	4.6382016194815625	0.03413352664133651	0.65345414358967	66	20
ENSMUSG00000025903	7.348178435368071	7.457240185221152	0.07915819224098512	0.12562164470873607	0.28135065708290985	0.3544314386573743	0.6662744251118705	1.1165313679251474	0.293696050151409	0.8670481717373827	66	20
ENSMUSG00000033813	8.200077590716305	8.033021185295482	0.05482050510242318	0.05243828697636174	0.23413779084637998	0.22899407629098562	-0.0640950516987606	0.006242677143244512	0.9372121011891976	0.9956956916662664	66	20
ENSMUSG00000033793	9.140532951597475	9.159369023626903	0.09734818407566387	0.03999866990910308	0.312006705177411	0.1999966747451144	-1.2832018284919693	2.2644098019908108	0.1361276179833526	0.8000493065505069	66	20
ENSMUSG00000025905	4.788777439163185	4.706118578535557	0.07280906147792619	0.07583984159803621	0.2698315427779454	0.275390344053738	0.058837930325278766	0.035972719554976336	0.8500294039007272	0.9867858728537249	66	20
ENSMUSG00000025907	9.177468847650685	9.071937040938364	0.058126839213969765	0.05366445626559961	0.24109508334673638	0.23165590056288143	-0.11523757992805247	0.11325976932767781	0.7373023388222555	0.9747052665231167	66	20
ENSMUSG00000103845	4.719883928837059	4.733181104744544	0.062262801771634485	0.0695214032984221	0.24952515258313035	0.26366911707369545	0.15908668095467557	0.003781984926113443	0.9511088208128502	0.9961398835403158	66	20
ENSMUSG00000033740	5.445031237227352	5.208069129851764	0.0742536160030528	0.06154573240171636	0.27249516693521886	0.24808412363897123	-0.27080242057827186	0.2715818133672175	0.6036438388783445	0.9520644805702492	66	20
ENSMUSG00000051285	6.495478960756376	6.839858978505786	0.06887198624262791	0.08309741204823778	0.2624347275850281	0.2882662173204446	0.2708862267104665	0.5231752860421361	0.4714996850328087	0.9203069365837251	66	20
ENSMUSG00000097797	5.002443499285949	5.000124022511789	0.056689328837773355	0.05399100617768486	0.2380952096069414	0.2323596483421441	-0.07035807289670931	0.40108268448251905	0.5282511910262162	0.933243712689997	66	20
ENSMUSG00000061024	4.6867317963201245	4.758409188687696	0.061765840187846685	0.10746298468201054	0.24852734293804915	0.3278154735243755	0.7989586375680463	1.0611797846682849	0.3059032985907834	0.8721671064997165	66	20
ENSMUSG00000025911	5.870854387736775	5.999628559185942	0.0451157434594765	0.055228525693757365	0.21240466910940659	0.23500750135635537	0.29178259709498805	0.5159219457461868	0.4745795827833127	0.9203069365837251	66	20
ENSMUSG00000079671	5.4742450077482285	5.335708665190463	0.0391806423302081	0.029647024201002292	0.1979410071971144	0.17218311241524906	-0.40225362848754426	0.7956592537379225	0.37494247975626327	0.8910420845012877	66	20
ENSMUSG00000025912	6.619080146363221	6.571999097275042	0.11963850351007997	0.14593593834937124	0.34588799272319354	0.38201562579215426	0.28665341516092485	0.6478332695181309	0.42316073779563546	0.9041071220969236	66	20
ENSMUSG00000045210	9.038590354320332	9.024363500144595	0.07451318900456956	0.08448160221114637	0.2729710405969277	0.2906571901934414	0.18114136462831673	0.04221578402978342	0.837706107249466	0.985534720084516	66	20
ENSMUSG00000025915	4.498784181477567	4.636640296110445	0.06262285134739755	0.13210668337376524	0.25024558207368525	0.36346483099987165	1.0769422302958627	7.049776525719308	0.009482485926450832	0.5193796229938847	66	20
ENSMUSG00000098234	6.126971938696922	6.046759722244542	0.0738245228305191	0.038765078498774745	0.2717066852886014	0.1968884925504148	-0.9293423633340452	3.806197633756458	0.054396991507690264	0.6964235553370602	66	20
ENSMUSG00000025916	4.709813945850809	4.715334774795247	0.1066927607972704	0.0831368017770675	0.3266385782440133	0.2883345310174754	-0.3599030984451032	0.4813190060312865	0.4897395834526428	0.9236999760060743	66	20
ENSMUSG00000025917	9.055964531806017	8.961688289814708	0.06415651369627932	0.012817824179060555	0.2532913612744804	0.11321583007274448	-2.3234434605485967	8.162891234288384	0.0053880809997837184	0.44192370674109227	66	20
ENSMUSG00000056763	5.434196675689025	6.39173689417039	0.10014174462927021	0.09369058648912956	0.31645180459158423	0.30608918061429347	-0.09606747861046085	0.5863055571539691	0.44599754318727225	0.9127064939429579	66	20
ENSMUSG00000067851	8.908322566942736	8.90974304328775	0.11786522676891541	0.0944546315968984	0.34331505467852036	0.30733472240685467	-0.31944467290214373	8.084948528522262e-4	0.9773834183619472	0.9965284941002012	66	20
ENSMUSG00000042501	4.71249337336192	4.701525457666096	0.06442003383638466	0.048937004700178234	0.25381101992700134	0.22121709857101515	-0.3965835469224026	0.33905601321048767	0.5619342987937338	0.9398762165983363	66	20
ENSMUSG00000048960	7.9714805634287265	7.957973319945816	0.046215083780741184	0.05228763408550491	0.21497693778808272	0.22866489473792193	0.17810595775973975	0.03982560829587956	0.8423042441129935	0.9864008819300818	66	20
ENSMUSG00000057715	5.471227876316343	5.459144493994771	0.1263141064988872	0.12231957655225165	0.3554069589905172	0.34974215724194824	-0.04636044412283392	0.03981724562139972	0.8423205805128653	0.9864008819300818	66	20
ENSMUSG00000097171	4.559591187968701	4.723420372865455	0.08580007006190828	0.05712119480821709	0.2929164899112173	0.23900040754822383	-0.5869525847275017	1.5183554627706204	0.22130652847036328	0.8374818394962692	66	20
ENSMUSG00000101314	4.9437108150369315	5.065886589343532	0.043190321118695287	0.0472373178899047	0.20782281183425289	0.2173414776104752	0.12921897999862436	0.04715900433809353	0.8286092845231889	0.9846494430272913	66	20
ENSMUSG00000016918	4.713725074693961	4.916920759976378	0.08976136085492968	0.03434394392085181	0.29960200409030924	0.18532119123524923	-1.3860385670220028	4.359963605694788	0.039821743025835084	0.6750732452646513	66	20
ENSMUSG00000025938	6.3334624618033235	7.092314771550376	0.11532523145009156	0.1180467831492336	0.3395956882089223	0.34357936950468027	0.03365053705057457	0.00638133749756804	0.9365201016747955	0.9956956916662664	66	20
ENSMUSG00000099498	4.693173444770967	4.675085207044459	0.05689998187162687	0.04784603846962278	0.23853717083848142	0.21873737328043139	-0.25002866673536767	0.05431498657205976	0.8162850711058485	0.9826375189619979	66	20
ENSMUSG00000005886	8.450407961380767	8.493639881013673	0.04822795870269741	0.03673992602080835	0.21960864897061183	0.19167661834665267	-0.3925209328691008	0.06591679325172133	0.7980052355039429	0.9823988283382988	66	20
ENSMUSG00000025935	9.475652820632408	9.399168017018583	0.06337185622123187	0.04799068722791985	0.2517376734246026	0.21906776857383617	-0.4010877284466422	0.11651909515715601	0.7336933176050751	0.9747052665231167	66	20
ENSMUSG00000025937	7.687980201468392	7.3839783286498255	0.07816190547107507	0.03588849748768935	0.2795745079063452	0.189442596814152	-1.1229438967119332	1.9325656051218938	0.16815082824996405	0.8159177064632241	66	20
ENSMUSG00000102982	5.391832412652876	5.294917949603211	0.04917331080603438	0.04265733059802536	0.221750559877612	0.20653651153736804	-0.20508176148337534	0.11117779382267258	0.7396380750771081	0.9748807441004006	66	20
ENSMUSG00000102166	4.966719189258218	5.019821145092194	0.04775452634614431	0.038761300541808034	0.21852809051960417	0.19687889816282506	-0.3010204356600802	0.30488017299180487	0.5823052100927391	0.9449555215584963	66	20
ENSMUSG00000025932	7.113029192539671	7.19019489900986	0.037024599049473646	0.032596227376950664	0.19241777217677594	0.18054425323712373	-0.18377905984228995	0.08551869224501613	0.7706745515804452	0.978480035435779	66	20
ENSMUSG00000032769	6.503165792673684	6.4397121495289555	0.16598161875305315	0.060476227675335316	0.4074084176266528	0.24591914865527514	-1.4565832743732745	8.541838631241324	0.004458355553718146	0.4088713307332835	66	20
ENSMUSG00000092083	4.952533792291544	4.897511348225436	0.09480106958461905	0.07856569095704014	0.3078978232865881	0.2802957205471395	-0.2710038688523515	0.021669427084306553	0.8833226527692084	0.9917368103742704	66	20
ENSMUSG00000025925	8.491321015971398	8.544024754438183	0.07520211750541886	0.049327035608221874	0.2742300448627372	0.22209690589520123	-0.6083945958269998	0.8986844774039542	0.34585401945927563	0.8876729034077213	66	20
ENSMUSG00000043716	8.286921620538777	8.448010131513454	0.07324499310083694	0.06517670176470983	0.27063812203907445	0.25529728115416706	-0.16837377137904383	2.1157306844185344	0.14951907695292455	0.8105794805200235	66	20
ENSMUSG00000025921	9.69403981440573	9.762737798865963	0.03229924084074041	0.028807243372059567	0.17971989550614703	0.1697269671326851	-0.16506858969454957	0.2032127373118186	0.6533015120336174	0.9662191451474498	66	20
ENSMUSG00000025920	7.542036295536696	7.592577717097006	0.028106392834140247	0.014536092581304621	0.16764961328359887	0.1205657189308164	-0.9512583180337173	3.9122160940254638	0.051214664603584606	0.694773368774892	66	20
ENSMUSG00000025939	10.278337651065923	10.122927940666717	0.046174967714588226	0.04052848751423767	0.2148836143464369	0.2013168833313234	-0.18817457260849402	0.1992137476393427	0.656504722934391	0.9666448399648565	66	20
ENSMUSG00000079658	11.028536737359154	10.789100181208392	0.10632476735493962	0.05511597742935765	0.32607478797806433	0.23476792248805553	-0.9479350684891806	1.0626974154814595	0.30555985575616085	0.8721671064997165	66	20
ENSMUSG00000097744	4.790557143701813	4.778040468875935	0.047549239403134956	0.022388565452404578	0.2180578808553705	0.1496280904523097	-1.0866598325152919	1.0032733735994113	0.3193964388691808	0.8792303294326923	66	20
ENSMUSG00000025940	8.8914589367905	8.836984469239153	0.06502320634449091	0.03809291821250244	0.2549964830041601	0.19517407156818356	-0.7714317275853536	1.761492740382302	0.1880346031800266	0.8283931922523992	66	20
ENSMUSG00000025779	5.8644316387380835	5.5653447704446055	0.09817633005264706	0.028124136287560924	0.31333102312514005	0.16770252319974474	-1.8035660812317658	5.949952847606641	0.016822894989110944	0.5771222722078962	66	20
ENSMUSG00000025777	9.729690276903009	9.765938522901836	0.04318310483000337	0.027632764901224974	0.20780544947138266	0.16623105877430058	-0.6440868639743597	1.889091917815901	0.17296023085672618	0.8190287879074609	66	20
ENSMUSG00000099899	6.437011992874115	6.630577053724011	0.12259339943551585	0.04525076950947408	0.3501334023419015	0.21272228258805911	-1.4378668724907044	2.6384441799848872	0.10805240127548364	0.7712525637383241	66	20
ENSMUSG00000099591	4.618634686315782	4.873228429046059	0.09639654798468071	0.10205689346727229	0.31047793477907687	0.31946344621454315	0.08232023592271556	0.04258733809809023	0.8370036254432172	0.985534720084516	66	20
ENSMUSG00000067773	5.328414448623207	4.961676807723868	0.46768086265156567	0.13904334186932377	0.683871963639076	0.37288515908966363	-1.7499896599741809	6.628114326899861	0.0117912844088635	0.5527366472209712	66	20
ENSMUSG00000025927	5.692900010799003	5.557540305503217	0.0777058098894806	0.09703765436303637	0.27875761853172837	0.3115086746192413	0.32052217068712324	0.007865238802123463	0.9295424163727388	0.9942234074263079	66	20
