gene_id	mean_young_vst	mean_old_vst	var_young	var_old	sd_young	sd_old	log2_var_ratio_old_vs_young	bf_statistic	pvalue	padj	subset	n_young	n_old	external_gene_name	description	gene_biotype
ENSMUSG00000028364	5.123919933017658	4.394088955023682	0.5109367778056785	0.10304045537764578	0.714798417601549	0.320999151677455	-2.3099338000807825	33.70291040187968	1.0795497464041228e-7	0.00147768769287796	full_dataset	42	45	Tnc	tenascin C [Source:MGI Symbol;Acc:MGI:101922]	protein_coding
ENSMUSG00000034602	7.934456645578502	7.759624178664259	0.02754718675025517	0.15466259244329883	0.16597345194414428	0.39327165222438654	2.489146973724748	21.589158429731732	1.22276858858853e-5	0.03895764599936716	full_dataset	42	45	Mon2	MON2 homolog, regulator of endosome to Golgi trafficking [Source:MGI Symbol;Acc:MGI:1914324]	protein_coding
ENSMUSG00000063450	9.8443118727241	9.733439621536103	0.03911451217503962	0.21511604239485227	0.19777389154041444	0.46380603962739886	2.4593389394466056	20.10519021693492	2.2768933956380572e-5	0.03895764599936716	full_dataset	42	45	Syne2	spectrin repeat containing, nuclear envelope 2 [Source:MGI Symbol;Acc:MGI:2449316]	protein_coding
ENSMUSG00000023830	7.730506319580183	7.386016849824521	0.05744832892066033	0.2585903351754374	0.23968381030153108	0.50851778255577	2.170331327110284	22.82901780549418	7.330930392164529e-6	0.03895764599936716	full_dataset	42	45	Igf2r	insulin-like growth factor 2 receptor [Source:MGI Symbol;Acc:MGI:96435]	protein_coding
ENSMUSG00000002679	8.736941105690262	8.901939748886514	0.02894488787880823	0.12170224766654392	0.17013197194768606	0.3488584923239564	2.0719749596745296	20.59126211200367	1.8552598865784217e-5	0.03895764599936716	full_dataset	42	45	Med6	mediator complex subunit 6 [Source:MGI Symbol;Acc:MGI:1917042]	protein_coding
ENSMUSG00000001441	5.4554263399582865	5.4741795627604715	0.03617980357810767	0.14331184319316528	0.19020989348114276	0.37856550713603754	1.9859010591416255	20.114328690479734	2.2681200293142916e-5	0.03895764599936716	full_dataset	42	45	Npepps	aminopeptidase puromycin sensitive [Source:MGI Symbol;Acc:MGI:1101358]	protein_coding
ENSMUSG00000004626	6.954896502875451	6.976151646170278	0.01878849343041601	0.07193980211934327	0.13707112544374914	0.2682159617161948	1.9369402360214332	20.238330903738973	2.1524464557727528e-5	0.03895764599936716	full_dataset	42	45	Stxbp2	syntaxin binding protein 2 [Source:MGI Symbol;Acc:MGI:107370]	protein_coding
ENSMUSG00000058897	6.933039383140722	6.989693250757171	0.01699408076971091	0.06109908809461333	0.1303613469158359	0.24718229729212676	1.8461179082518244	21.166800871742876	1.457907588907594e-5	0.03895764599936716	full_dataset	42	45	Col25a1	collagen, type XXV, alpha 1 [Source:MGI Symbol;Acc:MGI:1924268]	protein_coding
ENSMUSG00000057895	4.726449855910086	4.644942874938272	0.04911860601515928	0.14423072593919983	0.2216271779704811	0.3797772056603711	1.5540368228814327	19.58027782360576	2.8441172883322276e-5	0.04325586382521281	full_dataset	42	45	Zfp105	zinc finger protein 105 [Source:MGI Symbol;Acc:MGI:1277119]	protein_coding
ENSMUSG00000047799	11.344689469965624	11.249239656730644	0.06865391644312825	0.3800519008570211	0.26201892382636843	0.6164834960134952	2.4687823498831154	18.878592814061513	3.837184522210297e-5	0.04774852885455867	full_dataset	42	45	Oog4	oogenesin 4 [Source:MGI Symbol;Acc:MGI:2684051]	protein_coding
ENSMUSG00000095280	4.633935658867856	4.300814957102363	0.18778401191677935	0.07346023151933388	0.43334052651094074	0.2710354801854065	-1.3540387684018156	18.892854192290383	3.81380478491862e-5	0.04774852885455867	full_dataset	42	45	NA	NA	NA
