gene_id	mean_young_vst	mean_old_vst	var_young	var_old	sd_young	sd_old	log2_var_ratio_old_vs_young	bf_statistic	pvalue	padj	subset	n_young	n_old
ENSMUSG00000051951	4.8426221512949335	4.658305838636997	0.06477953427132256	0.15092595774427633	0.25451823956510966	0.38849190177438236	1.2202308279877874	9.910257850336423	0.0022674333513270834	0.13916625003086022	full_dataset	42	45
ENSMUSG00000102343	6.000629163720155	5.971977573364849	0.052536219687887416	0.06069571161122144	0.22920780895922246	0.24636499672482176	0.20828215792750496	0.12094675057779108	0.7288696635191326	0.8876290922433947	full_dataset	42	45
ENSMUSG00000025900	5.161582246812031	5.039874786689616	0.058531505169691245	0.08689208846981533	0.24193285260520375	0.29477464014025245	0.5700113662575357	0.9129144393237083	0.3420518371844741	0.6637217142650423	full_dataset	42	45
ENSMUSG00000033845	6.487375571653377	6.573292450761849	0.04669928725269749	0.07577537657115554	0.21610017874286336	0.2752732761659866	0.6983284670741979	1.5562804155631664	0.21563676619073405	0.5562077911291492	full_dataset	42	45
ENSMUSG00000025903	7.322687168402703	7.438732469014197	0.0670493461375174	0.12050226772274039	0.2589388849468488	0.3471343655167843	0.8457650330221305	1.0578365015199342	0.3066270472508755	0.635312699001643	full_dataset	42	45
ENSMUSG00000033813	8.110972026786172	8.196138298603056	0.03515077283364613	0.08357302332683447	0.18748539365413544	0.28908999174449895	1.2494806806511438	7.31697977905931	0.008251093106561164	0.1857581619121862	full_dataset	42	45
ENSMUSG00000033793	9.133559653134663	9.145929117696678	0.06305216564877422	0.10655331716010587	0.25110190291746937	0.32642505596247645	0.7569575849333343	0.5613060716523323	0.455802893234843	0.7427966973006649	full_dataset	42	45
ENSMUSG00000025905	4.841275837795295	4.699278233850594	0.06237652870845258	0.07511883274516581	0.24975293533500778	0.2740781507985739	0.26817133812098665	0.5784454692407126	0.44902692133802313	0.738712366241357	full_dataset	42	45
ENSMUSG00000025907	9.130860225834299	9.13619032165178	0.05878774575690969	0.1215358651704931	0.24246184391963552	0.34861994373600186	1.047794625247835	0.041102313266880894	0.8398250606242534	0.9391201605607659	full_dataset	42	45
ENSMUSG00000103845	4.780212511184051	4.675112283110791	0.04065575489761512	0.08012846090293062	0.20163272278480773	0.28306971032403067	0.9788550081350693	5.531478947962702	0.020989344024651732	0.24896726420384227	full_dataset	42	45
ENSMUSG00000033740	5.349453141455405	5.418431758322055	0.07612531465849862	0.0864776883304633	0.27590816345026586	0.294070889974617	0.1839516493377149	0.0808721356286232	0.7768106286471876	0.9105044688180851	full_dataset	42	45
ENSMUSG00000051285	6.578410514777896	6.5599221014601765	0.09191297384132757	0.10086049841739894	0.3031715254461203	0.31758541908815485	0.13402082328853532	0.4950355404571539	0.483612520583252	0.7577953047311008	full_dataset	42	45
ENSMUSG00000097797	5.009219547691206	4.996653835916602	0.04586053228265587	0.06436335130392173	0.21415072328305565	0.25369933248615717	0.48898625683537034	0.7890360849735565	0.3768985340136273	0.6924062700387656	full_dataset	42	45
